,source,target,weight
0,Mongolia,Cambodia,0.041666666666666664
1,Bolivia,Brazil,0.04504504504504504
2,Guadeloupe,Togo,0.00909090909090909
3,Hmong,Tibet,1.0
4,Uruguay,Netherlands,0.007142857142857143
5,South Africa,Malta,0.0049504950495049506
6,Netherlands,German DR,0.0136986301369863
7,Saudi Arabia,Cameroon,0.005934718100890208
8,Israel,Russia,0.022988505747126436
9,China PR,Jamaica,0.008746355685131196
10,Germany,Canada,0.003424657534246575
11,Ynys Môn,Shetland,0.11428571428571428
12,Sweden,Costa Rica,0.0018867924528301887
13,Poland,Singapore,0.0026666666666666666
14,Guernsey,Ynys Môn,0.027586206896551724
15,Italy,Austria,0.037037037037037035
16,Greenland,Frøya,0.12
17,Brazil,El Salvador,0.004531722054380665
18,Austria,Trinidad and Tobago,0.0028328611898017
19,Albania,Luxembourg,0.0392156862745098
20,Egypt,Mexico,0.0027472527472527475
21,Sweden,Faroe Islands,0.007547169811320755
22,Suriname,India,0.012121212121212121
23,Israel,India,0.011494252873563218
24,Norway,German DR,0.0031847133757961785
25,DR Congo,Sudan,0.031578947368421054
26,Argentina,Austria,0.001736111111111111
27,Ghana,Cape Verde,0.012987012987012988
28,Cuba,Anguilla,0.014814814814814815
29,Suriname,Guyana,0.23636363636363636
30,Dominica,United States Virgin Islands,0.02
31,Wales,Northern Ireland,0.19911504424778761
32,Wales,Iceland,0.022123893805309734
33,Poland,Iraq,0.005333333333333333
34,Greece,Belgium,0.008733624454148471
35,Vietnam Republic,Thailand,0.24390243902439024
36,Poland,Haiti,0.005333333333333333
37,German DR,Ecuador,0.007142857142857143
38,Scotland,Estonia,0.015306122448979591
39,Greece,Austria,0.017467248908296942
40,Azerbaijan,North Macedonia,0.01694915254237288
41,Iraq,Macau,0.006872852233676976
42,Belarus,San Marino,0.022988505747126436
43,El Salvador,Dominican Republic,0.020942408376963352
44,South Africa,Zambia,0.0297029702970297
45,Gambia,Tunisia,0.029850746268656716
46,Suriname,Aruba,0.05454545454545454
47,Western Armenia,Chagos Islands,0.2
48,Yugoslavia,Morocco,0.008968609865470852
49,Israel,Australia,0.017241379310344827
50,Two Sicilies,Provence,1.0
51,Germany,Azerbaijan,0.010273972602739725
52,Serbia,Bolivia,0.006756756756756757
53,Canada,Belize,0.023952095808383235
54,DR Congo,Central African Republic,0.021052631578947368
55,Timor-Leste,Brunei,0.5
56,Russia,Guatemala,0.0026954177897574125
57,Malaysia,Saudi Arabia,0.0031645569620253164
58,Iraq,DR Congo,0.006872852233676976
59,Ukraine,Georgia,0.04195804195804196
60,Netherlands,Ecuador,0.00228310502283105
61,Seychelles,Bangladesh,0.038461538461538464
62,Bangladesh,Myanmar,0.04
63,Poland,Bolivia,0.005333333333333333
64,Zambia,Sierra Leone,0.0028328611898017
65,Czech Republic,Italy,0.010869565217391304
66,Ynys Môn,Hitra,0.05714285714285714
67,Northern Ireland,Russia,0.005649717514124294
68,Lesotho,Zambia,0.0196078431372549
69,Thailand,Vietnam Republic,0.015527950310559006
70,Zambia,Somalia,0.014164305949008499
71,France,Iceland,0.023965141612200435
72,Morocco,Mali,0.02888086642599278
73,Japan,Bosnia and Herzegovina,0.0026455026455026454
74,Panama,Canada,0.011764705882352941
75,Turkmenistan,Nepal,0.03389830508474576
76,Zambia,Uganda,0.056657223796033995
77,Norway,Cyprus,0.041401273885350316
78,Tonga,Cook Islands,0.2
79,Sierra Leone,Guinea-Bissau,0.09302325581395349
80,Saint Lucia,Curaçao,0.013157894736842105
81,Barbados,United States Virgin Islands,0.0449438202247191
82,Cameroon,Gambia,0.015384615384615385
83,Martinique,Trinidad and Tobago,0.06944444444444445
84,Burkina Faso,Cape Verde,0.026845637583892617
85,Uzbekistan,South Sudan,0.00625
86,Chad,Tanzania,0.038461538461538464
87,Switzerland,Iceland,0.022727272727272728
88,Russia,England,0.01078167115902965
89,Malawi,Seychelles,0.009302325581395349
90,Djibouti,Somalia,0.2857142857142857
91,Guyana,Saint Martin,0.010638297872340425
92,Zambia,Djibouti,0.0056657223796034
93,Palestine,Guam,0.015151515151515152
94,Nigeria,Iran,0.003389830508474576
95,Kosovo,Cyprus,0.06896551724137931
96,Morocco,Zimbabwe,0.010830324909747292
97,Kuwait,Egypt,0.0035460992907801418
98,Mozambique,Gabon,0.018018018018018018
99,South Korea,Sri Lanka,0.007590132827324478
100,Cuba,Cayman Islands,0.08148148148148149
101,Luxembourg,Republic of Ireland,0.020833333333333332
102,Puerto Rico,Panama,0.02857142857142857
103,Jersey,Greenland,0.02631578947368421
104,Iran,Bulgaria,0.0029585798816568047
105,Ecuador,Finland,0.005714285714285714
106,Azerbaijan,Switzerland,0.01694915254237288
107,Belarus,Jordan,0.011494252873563218
108,Kosovo,Northern Ireland,0.034482758620689655
109,Bermuda,Grenada,0.03278688524590164
110,Burkina Faso,Madagascar,0.006711409395973154
111,Belgium,Romania,0.01634877384196185
112,Senegal,Tunisia,0.017921146953405017
113,Bosnia and Herzegovina,Turkey,0.02040816326530612
114,Greenland,Isle of Wight,0.08
115,Taiwan,Pakistan,0.016129032258064516
116,Samoa,American Samoa,0.5
117,Romania,Switzerland,0.018575851393188854
118,Guadeloupe,Puerto Rico,0.1
119,China PR,Sri Lanka,0.008746355685131196
120,Italy,Poland,0.015250544662309368
121,El Salvador,Ecuador,0.005235602094240838
122,Portugal,England,0.008928571428571428
123,Ghana,Libya,0.006493506493506494
124,Estonia,Moldova,0.022900763358778626
125,Denmark,Scotland,0.017994858611825194
126,Uruguay,Mexico,0.01904761904761905
127,Grenada,Suriname,0.012658227848101266
128,Congo,Equatorial Guinea,0.03731343283582089
129,Iceland,San Marino,0.006493506493506494
130,Mexico,Colombia,0.020080321285140562
131,Lebanon,Kuwait,0.05813953488372093
132,Wales,China PR,0.004424778761061947
133,Italy,Armenia,0.006535947712418301
134,Isle of Wight,Ynys Môn,0.038461538461538464
135,Yugoslavia,Wales,0.017937219730941704
136,Turkmenistan,North Korea,0.01694915254237288
137,Uzbekistan,South Korea,0.00625
138,Martinique,Suriname,0.04861111111111111
139,Togo,Liberia,0.06569343065693431
140,Iceland,Saudi Arabia,0.006493506493506494
141,Zambia,Zanzibar,0.019830028328611898
142,Poland,Estonia,0.021333333333333333
143,Angola,Congo,0.022388059701492536
144,New Zealand,Serbia,0.006097560975609756
145,Cameroon,Algeria,0.019230769230769232
146,Tanzania,Palestine,0.006289308176100629
147,Albania,Cyprus,0.0196078431372549
148,Cameroon,Eritrea,0.0038461538461538464
149,Argentina,Poland,0.012152777777777778
150,Liechtenstein,Andorra,0.058823529411764705
151,Indonesia,Iraq,0.0036496350364963502
152,Ethiopia,Liberia,0.007142857142857143
153,Bangladesh,Northern Mariana Islands,0.013333333333333334
154,Guinea,Ghana,0.015463917525773196
155,Tunisia,Palestine,0.0035460992907801418
156,South Africa,Algeria,0.0049504950495049506
157,Jordan,Uzbekistan,0.011976047904191617
158,Portugal,Nigeria,0.002976190476190476
159,France,Sweden,0.026143790849673203
160,Saint Lucia,Guadeloupe,0.02631578947368421
161,Morocco,Sudan,0.01444043321299639
162,Bulgaria,Kuwait,0.007782101167315175
163,Bulgaria,Algeria,0.011673151750972763
164,Guatemala,Uruguay,0.005263157894736842
165,France,Morocco,0.008714596949891068
166,Morocco,Kuwait,0.010830324909747292
167,Czech Republic,United States,0.010869565217391304
168,Bahamas,British Virgin Islands,0.15384615384615385
169,Laos,Brunei,0.24390243902439024
170,United States,Turkey,0.005952380952380952
171,Mexico,Trinidad and Tobago,0.030120481927710843
172,Togo,Egypt,0.0072992700729927005
173,Serbia,Chile,0.006756756756756757
174,Faroe Islands,Latvia,0.02040816326530612
175,Sudan,Djibouti,0.013605442176870748
176,Tahiti,Kiribati,0.007751937984496124
177,Romania,Chile,0.006191950464396285
178,Israel,Estonia,0.017241379310344827
179,Dominica,Saint Lucia,0.2
180,Central African Republic,Madagascar,0.15384615384615385
181,United Arab Emirates,Saudi Arabia,0.03361344537815126
182,Ecuador,South Korea,0.005714285714285714
183,Uruguay,Ghana,0.002380952380952381
184,Czechoslovakia,Italy,0.035398230088495575
185,Zimbabwe,Guinea,0.010810810810810811
186,Senegal,France,0.007168458781362007
187,Tajikistan,Sri Lanka,0.04285714285714286
188,Algeria,Slovenia,0.0037735849056603774
189,Oman,Thailand,0.030303030303030304
190,Trinidad and Tobago,South Africa,0.0031746031746031746
191,Cyprus,Slovenia,0.039473684210526314
192,Togo,Comoros,0.014598540145985401
193,Chile,Guinea,0.003246753246753247
194,Australia,Syria,0.01048951048951049
195,Solomon Islands,Tonga,0.056818181818181816
196,Tamil Eelam,Chagos Islands,0.08333333333333333
197,Peru,Ecuador,0.09210526315789473
198,Israel,Ethiopia,0.017241379310344827
199,Guinea,Botswana,0.02577319587628866
200,Hungary,Costa Rica,0.0021551724137931034
201,Turkey,Saudi Arabia,0.012244897959183673
202,Oman,Turkmenistan,0.025252525252525252
