,source,target,weight
0,Romania,Poland,0.03056768558951965
1,Indonesia,North Korea,0.027210884353741496
2,Egypt,Denmark,0.0053475935828877
3,Costa Rica,Switzerland,0.004484304932735426
4,French Guiana,Belize,0.036585365853658534
5,Rwanda,Algeria,0.03636363636363636
6,Serbia,Austria,0.02127659574468085
7,Senegal,Congo,0.011904761904761904
8,Lesotho,Botswana,0.09285714285714286
9,England,Brazil,0.058823529411764705
10,Russia,Israel,0.024539877300613498
11,Netherlands,Germany,0.07623318385650224
12,Faroe Islands,Netherlands,0.005376344086021506
13,Barbados,Jamaica,0.08148148148148149
14,Gibraltar,Liechtenstein,0.011111111111111112
15,Oman,Iraq,0.05789473684210526
16,Lithuania,Slovenia,0.008928571428571428
17,Algeria,United States,0.006097560975609756
18,Syria,Jordan,0.05913978494623656
19,Gabon,Senegal,0.04895104895104895
20,Saint Lucia,Antigua and Barbuda,0.045454545454545456
21,Slovenia,Qatar,0.00909090909090909
22,Cameroon,Zimbabwe,0.020134228187919462
23,Myanmar,Bahrain,0.019801980198019802
24,Philippines,India,0.01015228426395939
25,Ticino,Raetia,1.0
26,Belarus,Belgium,0.014814814814814815
27,Estonia,Germany,0.017793594306049824
28,Ecuador,Poland,0.004
29,British Virgin Islands,Puerto Rico,0.028169014084507043
30,Mali,Saudi Arabia,0.00546448087431694
31,Chile,Spain,0.024242424242424242
32,Madagascar,Gabon,0.024793388429752067
33,Guinea-Bissau,Egypt,0.011904761904761904
34,Guinea-Bissau,South Africa,0.011904761904761904
35,Austria,Chile,0.0032679738562091504
36,Bulgaria,United Arab Emirates,0.0036231884057971015
37,Iran,Turkmenistan,0.008620689655172414
38,Saint Vincent and the Grenadines,Grenada,0.07608695652173914
39,Northern Ireland,Denmark,0.014124293785310734
40,Sint Maarten,Saint Lucia,0.037037037037037035
41,Australia,Brazil,0.03821656050955414
42,Montenegro,Slovenia,0.03333333333333333
43,Indonesia,Cameroon,0.003401360544217687
44,Japan,Italy,0.004149377593360996
45,North Korea,Uzbekistan,0.06140350877192982
46,Greece,Mexico,0.0043859649122807015
47,Mauritius,Mayotte,0.01282051282051282
48,Italy,Norway,0.01818181818181818
49,England,Uruguay,0.024509803921568627
50,Sri Lanka,India,0.07534246575342465
51,Iran,Chile,0.008620689655172414
52,India,Singapore,0.037037037037037035
53,Guam,Hong Kong,0.08536585365853659
54,Belarus,Slovenia,0.007407407407407408
55,Japan,Denmark,0.004149377593360996
56,Gabon,Equatorial Guinea,0.013986013986013986
57,Aruba,Venezuela,0.024691358024691357
58,France,Corsica,0.00390625
59,Hungary,Latvia,0.003278688524590164
60,Kyrgyzstan,Australia,0.021505376344086023
61,Northern Mariana Islands,Micronesia,0.043478260869565216
62,Egypt,Sudan,0.0106951871657754
63,China PR,Australia,0.029850746268656716
64,Shetland,Faroe Islands,0.07407407407407407
65,Ethiopia,Congo,0.018292682926829267
66,Maldives,Lebanon,0.040983606557377046
67,Sierra Leone,Equatorial Guinea,0.015873015873015872
68,Abkhazia,Székely Land,0.2
69,Guinea-Bissau,Algeria,0.023809523809523808
70,Guadeloupe,Suriname,0.057692307692307696
71,China PR,United States,0.024875621890547265
72,South Korea,Mexico,0.037209302325581395
73,German DR,Ecuador,0.010869565217391304
74,Portugal,Argentina,0.02702702702702703
75,Vietnam,Zimbabwe,0.009345794392523364
